epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,476.184,0.93488,1.15055,0.65416,1.17312,0,0.99561,0.94595,0.99074,0.80698,0.99561,0.94595,0.99074,0.76099,0.6703,0.90058,0.54558,1.21235,0,0.0014456,0.0014456,0.0014456
30,505.151,0.83791,1.09588,0.61387,1.14746,0,0.99686,0.94595,0.98884,0.81757,0.99686,0.94595,0.98276,0.79017,0.68962,0.77519,0.52745,1.15462,0,0.0014258,0.0014258,0.0014258
31,536.965,0.8974,1.18144,0.6437,1.17367,0,0.98596,0.91892,0.9767,0.80473,0.98596,0.91892,0.97428,0.77386,0.69369,0.72142,0.58564,1.17286,0,0.001406,0.001406,0.001406
32,565.783,0.87628,1.14907,0.62228,1.15716,0,0.97121,0.97297,0.99101,0.79232,0.97121,0.97297,0.99101,0.78385,0.71516,0.7371,0.52433,1.17197,0,0.0013862,0.0013862,0.0013862
33,591.849,0.89579,1.20488,0.66162,1.17321,0,0.9639,1,0.99158,0.79501,0.9639,1,0.99158,0.80377,0.71301,0.5575,0.51806,1.28557,0,0.0013664,0.0013664,0.0013664
34,605.963,0.90891,1.17474,0.63789,1.21207,0,0.90838,1,0.98359,0.78563,0.90838,1,0.98359,0.77861,0.63149,0.58548,0.50261,1.15899,0,0.0013466,0.0013466,0.0013466
35,618.847,0.8635,1.18147,0.60084,1.14936,0,0.89358,0.97297,0.97333,0.7901,0.89358,0.97297,0.97333,0.76433,0.58964,0.64099,0.54262,1.13178,0,0.0013268,0.0013268,0.0013268
36,632.741,0.84803,1.07912,0.60535,1.13754,0,0.98832,1,0.995,0.79827,0.98832,1,0.995,0.78834,0.68146,0.66157,0.5336,1.17238,0,0.001307,0.001307,0.001307
37,645.417,0.85573,1.10865,0.60174,1.16473,0,0.99579,1,0.995,0.80288,0.99579,1,0.995,0.77553,0.63542,0.51642,0.4683,1.17365,0,0.0012872,0.0012872,0.0012872
38,659.105,0.80024,1.11234,0.59218,1.13584,0,0.97062,1,0.99289,0.80864,0.97062,1,0.99289,0.80512,0.70462,0.54382,0.48585,1.162,0,0.0012674,0.0012674,0.0012674
39,672.986,0.8195,1.01671,0.60071,1.12452,0,0.99758,1,0.995,0.81721,0.99758,1,0.995,0.80659,0.7062,0.60112,0.49011,1.15113,0,0.0012476,0.0012476,0.0012476
40,686.507,0.78109,1.10637,0.56116,1.10188,0,0.99649,1,0.995,0.80713,0.99649,1,0.995,0.80717,0.66692,0.67104,0.42572,1.15021,0,0.0012278,0.0012278,0.0012278
41,700.615,0.84912,1.18116,0.59013,1.17915,0,0.9736,1,0.99447,0.80114,0.9736,1,0.99447,0.80167,0.57037,0.51077,0.47128,1.08227,0,0.001208,0.001208,0.001208
42,714.27,0.85631,1.16867,0.60428,1.15179,0,0.95609,0.97297,0.99188,0.81363,0.95609,0.97297,0.99188,0.81337,0.64541,0.57505,0.48082,1.16155,0,0.0011882,0.0011882,0.0011882
43,727.878,0.874,1.16242,0.62143,1.14739,0,0.99076,0.97297,0.99262,0.82693,0.99076,0.97297,0.99262,0.82555,0.57632,0.46012,0.4491,1.07331,0,0.0011684,0.0011684,0.0011684
44,741.246,0.83593,1.13584,0.59706,1.1317,0,1,0.99976,0.995,0.82649,1,0.99976,0.995,0.83511,0.6213,0.54183,0.43591,1.08983,0,0.0011486,0.0011486,0.0011486
45,755.192,0.81437,1.01693,0.56044,1.15489,0,0.99824,1,0.995,0.80735,0.99824,1,0.995,0.83974,0.66161,0.51045,0.42189,1.12939,0,0.0011288,0.0011288,0.0011288
46,768.579,0.78095,1.00805,0.52885,1.10211,0,0.97362,0.99763,0.99158,0.80092,0.97362,0.99763,0.99158,0.81949,0.64176,0.51495,0.48262,1.10534,0,0.001109,0.001109,0.001109
47,782,0.79017,1.01146,0.55065,1.11537,0,0.9882,1,0.995,0.79033,0.9882,1,0.995,0.78318,0.81372,0.63942,0.5187,1.27496,0,0.0010892,0.0010892,0.0010892
48,796.168,0.81312,1.14865,0.55652,1.12916,0,0.98619,0.97297,0.98351,0.80765,0.99558,1,0.995,0.83342,0.63768,0.57747,0.43246,1.11431,0,0.0010694,0.0010694,0.0010694
49,809.431,0.77278,0.97388,0.54583,1.11171,0,1,0.99295,0.995,0.81115,1,0.99295,0.995,0.83236,0.5493,0.53723,0.4019,1.0595,0,0.0010496,0.0010496,0.0010496
50,822.226,0.78131,0.98766,0.52254,1.10249,0,1,0.99828,0.995,0.74275,1,0.99828,0.995,0.76059,0.70565,1.03337,0.48171,1.14886,0,0.0010298,0.0010298,0.0010298
51,835.317,0.7487,0.99708,0.51606,1.07971,0,0.99636,0.97297,0.99397,0.78536,0.99636,0.97297,0.99397,0.7801,0.69247,0.85202,0.46917,1.16627,0,0.00101,0.00101,0.00101
52,848.694,0.72716,0.98463,0.50362,1.08763,0,1,0.94451,0.97497,0.83029,1,0.94451,0.97497,0.80372,0.58738,0.5705,0.42662,1.17325,0,0.0009902,0.0009902,0.0009902
53,860.843,0.76677,1.04449,0.52777,1.09448,0,0.99798,0.94595,0.99224,0.81409,0.99798,0.94595,0.99224,0.80115,0.61314,0.48828,0.42545,1.1658,0,0.0009704,0.0009704,0.0009704
54,873.259,0.76265,0.89903,0.51484,1.08826,0,0.986,1,0.995,0.77292,0.986,1,0.995,0.77373,0.69462,0.56486,0.42606,1.18046,0,0.0009506,0.0009506,0.0009506
55,885.927,0.74674,1.06594,0.56119,1.09173,0,0.96585,0.94595,0.98838,0.78113,0.96585,0.94595,0.98838,0.78375,0.58865,0.60347,0.47886,1.09186,0,0.0009308,0.0009308,0.0009308
56,899.41,0.73305,1.04777,0.51843,1.09015,0,1,0.99778,0.995,0.82263,1,0.99778,0.995,0.82068,0.5713,0.51112,0.47857,1.08004,0,0.000911,0.000911,0.000911
57,912.356,0.7008,0.9377,0.48461,1.07338,0,0.99612,1,0.995,0.83162,0.99612,1,0.995,0.82086,0.57302,0.44196,0.41014,1.10764,0,0.0008912,0.0008912,0.0008912
58,925.44,0.70279,0.88676,0.46555,1.06648,0,0.99649,1,0.995,0.80065,0.99649,1,0.995,0.81675,0.61195,0.43998,0.42055,1.12091,0,0.0008714,0.0008714,0.0008714
59,937.609,0.69646,1.0594,0.4798,1.07105,0,0.99784,1,0.995,0.83519,0.99784,1,0.995,0.82747,0.65358,0.64781,0.37219,1.14433,0,0.0008516,0.0008516,0.0008516
60,949.996,0.68729,0.98604,0.46828,1.04383,0,0.99785,1,0.995,0.80106,0.99785,1,0.995,0.80312,0.63673,0.66343,0.39466,1.13724,0,0.0008318,0.0008318,0.0008318
61,960.819,0.72601,1.03231,0.47966,1.06036,0,0.98019,1,0.995,0.83166,0.98019,1,0.995,0.81344,0.57029,0.57774,0.39185,1.06879,0,0.000812,0.000812,0.000812
62,972.581,0.72978,0.97476,0.49403,1.08158,0,0.99788,1,0.995,0.8304,0.99788,1,0.995,0.82778,0.53403,0.47432,0.373,1.03766,0,0.0007922,0.0007922,0.0007922
63,986.136,0.67069,0.97388,0.46696,1.0531,0,0.97183,1,0.99447,0.82935,0.97183,1,0.99447,0.83925,0.60287,0.52734,0.36901,1.0795,0,0.0007724,0.0007724,0.0007724
64,999.483,0.65517,0.88881,0.4536,1.03996,0,0.99832,1,0.995,0.78807,0.99832,1,0.995,0.80157,0.74071,0.56646,0.42516,1.19517,0,0.0007526,0.0007526,0.0007526
65,1012.37,0.65062,0.86958,0.45832,1.05039,0,0.99838,1,0.995,0.81934,0.99838,1,0.995,0.81904,0.5824,0.48123,0.42269,1.07801,0,0.0007328,0.0007328,0.0007328
66,1025.41,0.65483,0.94122,0.44982,1.04163,0,0.99812,1,0.995,0.84219,0.99812,1,0.995,0.80893,0.5462,0.54432,0.39289,1.07036,0,0.000713,0.000713,0.000713
67,1039.42,0.6632,0.95858,0.47189,1.06323,0,0.99839,1,0.995,0.81928,0.99839,1,0.995,0.79685,0.60475,0.55566,0.39728,1.10358,0,0.0006932,0.0006932,0.0006932
68,1051.99,0.64385,0.9643,0.42841,1.04588,0,0.99819,1,0.995,0.82497,0.99819,1,0.995,0.81729,0.59776,0.50984,0.3883,1.0965,0,0.0006734,0.0006734,0.0006734
69,1065.17,0.62232,0.89133,0.44278,1.01228,0,1,0.99083,0.995,0.82588,1,0.99083,0.995,0.83925,0.54854,0.48473,0.37351,1.05471,0,0.0006536,0.0006536,0.0006536
70,1078.18,0.63436,0.86179,0.44272,1.03148,0,0.99648,1,0.995,0.84118,0.99648,1,0.995,0.82857,0.55234,0.51092,0.3726,1.03552,0,0.0006338,0.0006338,0.0006338
71,1091.2,0.64212,0.87666,0.45023,1.04601,0,0.99837,1,0.995,0.84787,0.99837,1,0.995,0.81256,0.54353,0.50429,0.38294,1.04315,0,0.000614,0.000614,0.000614
72,1104.04,0.62196,0.79698,0.4161,1.02867,0,0.99841,1,0.995,0.84555,0.99841,1,0.995,0.81656,0.51025,0.49489,0.35417,1.02976,0,0.0005942,0.0005942,0.0005942
73,1116.48,0.62908,0.82374,0.42488,1.0289,0,0.99837,1,0.995,0.84344,0.99837,1,0.995,0.83994,0.53391,0.46863,0.38276,1.04169,0,0.0005744,0.0005744,0.0005744
