operation_type,sample_count,accuracy,macro_f1,weighted_f1,IDLE_SETUP_precision,IDLE_SETUP_recall,IDLE_SETUP_f1,IDLE_SETUP_support,SEWING_precision,SEWING_recall,SEWING_f1,SEWING_support
COLLAR,325,0.9784615384615385,0.9738892905921105,0.978629635809679,0.9381443298969072,0.9891304347826086,0.9629629629629629,92,0.9956140350877193,0.9742489270386266,0.9848156182212581,233
POCKET,327,0.963302752293578,0.9494902687673772,0.963302752293578,0.9230769230769231,0.9230769230769231,0.9230769230769231,78,0.9759036144578314,0.9759036144578314,0.9759036144578314,249
SLEEVE,349,0.9914040114613181,0.9909520640873857,0.9913982172642163,0.9925925925925926,0.9852941176470589,0.988929889298893,136,0.9906542056074766,0.9953051643192489,0.9929742388758782,213
